pair_key,friendship,friendship_strength,lost_con,lockdown
1 22,0.24,0.39,FALSE,FALSE
1 22,7.36,2.08,FALSE,FALSE
1 22,1.44,2.3800000000000003,FALSE,FALSE
1 22,0.24,2.3200000000000003,TRUE,FALSE
1 22,0.72,2.44,TRUE,FALSE
1 22,1.56,0.99,FALSE,FALSE
1 22,0.12,0.66,TRUE,FALSE
1 22,0.36,0.69,FALSE,FALSE
1 22,0.48,0.63,FALSE,TRUE
1 22,0.24,0.3,FALSE,TRUE
1 22,0.72,0.44999999999999996,FALSE,TRUE
1 22,0.48,0.48,FALSE,TRUE
1 22,0.24,0.42,FALSE,TRUE
1 22,0.36,0.44999999999999996,FALSE,TRUE
1 22,1.12,0.55,FALSE,TRUE
1 22,0.12,0.46,TRUE,TRUE
1 22,0.24,0.46,FALSE,TRUE
1 23,2.48,NA,NA,FALSE
1 23,9.1466666666666665,NA,NA,FALSE
1 23,4.84,NA,NA,FALSE
1 23,6.32,5.696666666666666,FALSE,FALSE
1 23,5.693333333333333,6.5,FALSE,FALSE
1 23,2.36,4.803333333333333,TRUE,FALSE
1 23,6.453333333333333,5.206666666666666,FALSE,FALSE
1 23,0.7866666666666666,3.823333333333333,TRUE,FALSE
1 23,1.3333333333333333,2.733333333333333,TRUE,FALSE
1 23,2.453333333333333,2.756666666666666,FALSE,FALSE
1 23,18.666666666666664,5.809999999999999,FALSE,FALSE
1 23,18.119999999999997,10.143333333333333,FALSE,FALSE
1 23,7.453333333333333,11.673333333333332,FALSE,FALSE
1 23,9.719999999999999,13.489999999999998,FALSE,FALSE
1 23,8,10.823333333333332,FALSE,FALSE
1 23,11.453333333333333,9.156666666666666,FALSE,FALSE
1 23,2.2800000000000002,7.863333333333333,TRUE,FALSE
1 23,2.36,6.023333333333333,TRUE,FALSE
1 23,26.36,10.613333333333333,FALSE,FALSE
1 23,9.906666666666666,10.226666666666667,FALSE,FALSE
1 23,0.5733333333333333,9.799999999999999,TRUE,FALSE
1 23,0.24,9.27,TRUE,FALSE
1 23,6.62,4.335,FALSE,FALSE
1 23,1,2.1083333333333334,TRUE,FALSE
1 23,0.72,2.145,TRUE,TRUE
1 23,0.6,2.235,TRUE,TRUE
1 23,0.6,0.73,FALSE,TRUE
1 23,0.12,0.51,TRUE,TRUE
1 23,0.24,0.38999999999999996,FALSE,TRUE
1 23,0.24,0.29999999999999993,FALSE,TRUE
1 23,0.24,0.20999999999999996,FALSE,TRUE
1 23,0.12,0.20999999999999996,FALSE,TRUE
1 23,0.08,0.16999999999999998,TRUE,FALSE
1 23,0.4,0.20999999999999996,FALSE,TRUE
1 23,0.08,0.16999999999999998,TRUE,TRUE
1 23,0.24,0.19999999999999998,FALSE,TRUE
1 23,0.32,0.26,FALSE,TRUE
1 23,0.24,0.21999999999999997,FALSE,TRUE
1 24,0.96,NA,NA,FALSE
1 24,0.36,NA,NA,FALSE
1 24,0.6,NA,NA,FALSE
1 24,0.48,0.6,FALSE,FALSE
1 24,1.2000000000000002,0.66,FALSE,FALSE
1 24,0.12,0.6000000000000001,TRUE,FALSE
1 24,0.6,0.6000000000000001,FALSE,FALSE
