join_id,id,pagerank,week,num_msgs,vacation,lockdown,num_friends,new_cons,trans
293_2019-12-01,293,0.03682308949464254,2019-12-01T00:00:00Z,30,FALSE,FALSE,4,1,0.6549651336467173
296_2019-12-01,296,0.028758231755802523,2019-12-01T00:00:00Z,67,FALSE,FALSE,4,1,0.9110518149332308
309_2019-12-01,309,0.03706265355690764,2019-12-01T00:00:00Z,99,FALSE,FALSE,3,3,0.6949974729162519
4_2019-12-01,4,0.04699110940694876,2019-12-01T00:00:00Z,166,FALSE,FALSE,7,3,0.6689115268748992
55_2019-12-01,55,0.04108515358534254,2019-12-01T00:00:00Z,69,FALSE,FALSE,5,2,0.9516624512879477
63_2019-12-01,63,0.03848450171538119,2019-12-01T00:00:00Z,28,FALSE,FALSE,3,2,0.39122651840620043
83_2019-12-01,83,0.029586854569800695,2019-12-01T00:00:00Z,79,FALSE,FALSE,5,3,0.9208288199186769
123_2019-12-08,123,0.03145919327951638,2019-12-08T00:00:00Z,287,FALSE,FALSE,12,7,0.3598542872162036
14_2019-12-08,14,0.0310440881277427,2019-12-08T00:00:00Z,6,FALSE,FALSE,2,1,0.730621594848937
155_2019-12-08,155,0.03427954008398348,2019-12-08T00:00:00Z,62,FALSE,FALSE,6,0,0.7390960795627335
158_2019-12-08,158,0.031097642987458665,2019-12-08T00:00:00Z,29,FALSE,FALSE,6,1,0.8251808384432842
164_2019-12-08,164,0.05353965046186035,2019-12-08T00:00:00Z,59,FALSE,FALSE,8,4,0.4918008921967906
177_2019-12-08,177,0.034741941499125545,2019-12-08T00:00:00Z,101,FALSE,FALSE,4,1,0.7242159892145892
187_2019-12-08,187,0.0563012000906197,2019-12-08T00:00:00Z,116,FALSE,FALSE,7,3,0.40221953539710065
190_2019-12-08,190,0.04783588672488347,2019-12-08T00:00:00Z,53,FALSE,FALSE,5,1,0.4629238159897961
194_2019-12-08,194,0.030598767240130005,2019-12-08T00:00:00Z,5,FALSE,FALSE,1,1,1.122043730477467
22_2019-12-08,22,0.03266708116327665,2019-12-08T00:00:00Z,91,FALSE,FALSE,3,1,0.9887871018737129
235_2019-12-08,235,0.03206834898207799,2019-12-08T00:00:00Z,135,FALSE,FALSE,6,1,0.8324910196678168
244_2019-12-08,244,0.035936701230377184,2019-12-08T00:00:00Z,122,FALSE,FALSE,6,3,0.37256907519003885
259_2019-12-08,259,0.050386659210068054,2019-12-08T00:00:00Z,87,FALSE,FALSE,2,0,0.6612160807750845
260_2019-12-08,260,0.04334989035830776,2019-12-08T00:00:00Z,140,FALSE,FALSE,6,1,0.5150209928806709
270_2019-12-08,270,0.021720448777692566,2019-12-08T00:00:00Z,1,FALSE,FALSE,1,1,1.4247232472324716
29_2019-12-08,29,0.03667577987585421,2019-12-08T00:00:00Z,132,FALSE,FALSE,5,1,0.6532229190174454
292_2019-12-08,292,0.025964724705371176,2019-12-08T00:00:00Z,10,FALSE,FALSE,3,0,1.0075857297151376
293_2019-12-08,293,0.03682308949464254,2019-12-08T00:00:00Z,58,FALSE,FALSE,8,5,0.7705810920212264
296_2019-12-08,296,0.028758231755802523,2019-12-08T00:00:00Z,167,FALSE,FALSE,3,0,0.7426822533136948
305_2019-12-08,305,0.030031090815616272,2019-12-08T00:00:00Z,128,FALSE,FALSE,3,0,1.0171417247415524
309_2019-12-08,309,0.03706265355690764,2019-12-08T00:00:00Z,33,FALSE,FALSE,4,2,0.47931088002483263
4_2019-12-08,4,0.04699110940694876,2019-12-08T00:00:00Z,73,FALSE,FALSE,7,3,0.5892124166239093
